number,title,assignees,labels,state,payment status
2096,Migrate to RocksDB,,B-1000 SigUSD,open,
2093,[API Request] /blockchain/box/unspent/byAddress Unconfirmed Query Parameter,,B-200 SigUSD,open,
2092,"Label transactions with inputs not using blockchain context, simplify their revalidation in mempool",ccellado,B-500 SigUSD,open,
2089,Post-refactoring cross-compilation,ccellado,Bounty - 300 SigUSD,closed,paid
2083,Release script,,B-100 SigUSD,closed,paid
2064,Post-refactoring documentation,ccellado,B-500 SigUSD,open,
2051,Add limit and offset parameter to /wallet/boxes/unspent,,B-200 SigUSD,closed,paid
2047,Limit logs disk usage ,ccellado,B-200 SigUSD,closed,paid
2039,Bulk endpoint for /blocks/{headerId},ccellado,B-200 SigUSD,closed,paid
2038,Unspent and Spent Box By Token Id Node Endpoint Request,jellymlg,Bounty - 300 SigUSD,closed,
2037,Bulk endpoint for /utxo/withPool/byId,ccellado,B-200 SigUSD,closed,paid
2034,Implement UTXO set scan,jellymlg,B-1000 SigUSD,open,
2011,"Mempool validation is CPU intensive, it cannot run on Akka's Default dispatcher",,B-200 SigUSD,closed,
1996,application/json content not accepted in new API calls ,jellymlg,B-200 SigUSD,closed,
1976,Make a method to dump private key similar to Bitcoin Core's dumpprivkey,jellymlg,Bounty - 300 SigUSD,closed,
1967,Wallet rescan speed up,jellymlg,B-500 SigUSD,closed,
1965,Extract NiPoPoW verifier into a separate library for SPV workflow in appkit,ccellado,B-500 SigUSD,closed,paid
1964,Prevent attempts to connect to local networks ,jellymlg,B-200 SigUSD,closed,
1959,Unite ConnectedPeer.peerInfo and PeerInfo.lastStoredActivityTime,ccellado,B-200 SigUSD,closed,paid
1952,OrderedTxPool inconsistency ,jellymlg,B-500 SigUSD,open,
1924,Peer propagation rules are too strict ,ccellado,B-500 SigUSD,closed,paid
1918,#1913 Change log level configuration,,B-200 SigUSD,closed,
1915,Consider headers and full-blocks a peer has when requesting them ,ApexTheory,B-1000 SigUSD,open,
1913,Lower log levels than INFO are working for log file but not for stdout,ccellado,B-200 SigUSD,closed,paid
1909,Log API queries (@DEBUG level),pragmaxim,B-200 SigUSD,open,
1905,/wallet/payment/send is trying to spend custom scan boxes,,B-500 SigUSD,open,
1900,Improper interpretation for big token amounts,pragmaxim,B-1000 SigUSD,open,
1894,i1893 do not erase password before Unlock,,B-200 SigUSD,closed,
1885,Timeout on /wallet/payment/send ,pragmaxim,B-500 SigUSD,open,
1884,Fee estimation APIs getExpectedWaitTime/getRecommendedFee return invalid values,,B-500 SigUSD,open,
1874,Dockerfile/Workflow: add support for aarch64,,B-200 SigUSD,closed,
1871,I1868 utils endpoint with post requests,,B-500 SigUSD,closed,
1870,Consider slicing by height in /boxes/unspent,pragmaxim,B-500 SigUSD,open,
1868,Rest endpoints `/utils/*` accept GET parameters with oversized ErgoTree/Address,pragmaxim,B-500 SigUSD,open,
1861,Send only peers which were active recently,jellymlg,B-500 SigUSD,closed,
1854,Additional mempool API endpoints,pragmaxim,B-2000 SigUSD,closed,paid
1848,SIGTERM should be handled as remote shutdown,,B-500 SigUSD,closed,
1824,OOM error leads to node being stuck,pragmaxim,B-500 SigUSD,closed,paid
1811,Make a config setting for pool sorting,ApexTheory,B-500 SigUSD,open,
1806,Fixed socket address parsing for IPv6,,Bounty - 300 SigUSD,closed,
1802,I1801 modifier error should contain modifier id and type,,B-500 SigUSD,closed,
1800,I1799 peer database disregards rest api url feature,,Bounty - 300 SigUSD,closed,
1784,Remove invalid transaction in a block from the mempool and invalidate it in delivery tracker,pragmaxim,B-500 SigUSD,closed,paid
1783,Stats collector got strange input ,,Bounty - 300 SigUSD,closed,
1782,Double application error in light node logs,kushti pragmaxim,Bounty - 300 SigUSD,closed,paid
1779,i1768 - transactions and wallet api to return Bad Request on invalid tx,,Bounty - 300 SigUSD,closed,
1778,Hard-code message sets and handlers,ccellado,B-500 SigUSD,closed,paid
1773,"Simplify InvSpec, RequestModifierSpec, ModifiersSpec",ccellado,B-200 SigUSD,closed,paid
1768,POST `/transactions` API request return 200 OK on declined tx due to insufficient tx fee,pragmaxim,B-500 SigUSD,closed,paid
1753,Wrapping unconfirmed transactions,ApexTheory,B-1000 SigUSD,open,
1743,Ask block sections directly from peer sending us a new header,pragmaxim,B-500 SigUSD,closed,paid
1742,Extract new header from sync V2 when it is there ,pragmaxim,B-500 SigUSD,closed,paid
1739,PeerSpecSerializer.serialize can fail with NPE ,pragmaxim,B-500 SigUSD,closed,paid
1737,i1731 adding max constraints to scan and wallet box listing,,B-500 SigUSD,closed,
1732,Remove copy-paste from PeerInfoSerializer,pragmaxim,B-200 SigUSD,closed,paid
1731,Add maxInclusionHeight to the /scan/spentBoxes API,pragmaxim,B-200 SigUSD,closed,paid
1722,Do not wallet-rescan blockchain from height 0 after wallet initialization,pragmaxim,B-500 SigUSD,open,
1718,Find emission box by its NFT (after EIP-27 activation height),,B-500 SigUSD,closed,
1716,Tests for fork switching on top of ErgoNodeViewSynchronizer,pragmaxim,B-500 SigUSD,closed,paid
1706,i1698 java friendly bulk txs methods,,Bounty - 300 SigUSD,closed,
1702,"In case of recoverable failure, status in ErgoNodeViewSynchronizer not cleared",pragmaxim,B-1000 SigUSD,closed,paid
1699,Prevent wallet/rescan from parallel execution,pragmaxim,B-500 SigUSD,closed,paid
1698,Do Java-friendly method to send bulk payments in ErgoWallet's Utils class ,pragmaxim,B-500 SigUSD,closed,paid
1697,I1695 nipopow rest api header id bug fix,,B-500 SigUSD,closed,
1687,Int can not be casted to byte in a custom scan,,B-500 SigUSD,closed,
1686,"""Failed to rollback wallet registry"" when wallet not initialized",pragmaxim,B-500 SigUSD,closed,paid
1684,Document P2P layer,,B-1000 SigUSD,closed,
1683,maxPeerHeight API enpoint for snyc progress + bugfixes,,B-1000 SigUSD,closed,
1680,I1657 headers coming out of order,,B-500 SigUSD,closed,
1668,Change scan id type to long,pragmaxim,B-1000 SigUSD,open,
1664,Optional min deposit value for the wallet,pragmaxim,B-500 SigUSD,closed,paid
1663,Unconfirmed transactions for scans,pragmaxim,B-500 SigUSD,closed,paid
1661,Limiting suffix of ADProofs stored during bootstrapping,,Bounty - 300 SigUSD,closed,
1655,tidy openapi spec,,B-500 SigUSD,closed,
1652,Help decentralization: Add an information which peers are open to get requests on HTTP API,pragmaxim,B-500 SigUSD,closed,paid
1642,Wallet - start the scan at a specific block,pragmaxim,B-1000 SigUSD,closed,paid
1635,Wallet can become unresponsive if too many unspent boxes there ,pragmaxim,B-200 SigUSD,closed,paid
1633,Set Loglevel via ergo.conf,,B-200 SigUSD,open,
1632,"Bootstrapping in ""digest"" mode with large suffix often stucks on the way",pragmaxim,B-1000 SigUSD,closed,paid
1631,An issue with restoring state after keepVersions = 0,knizhnik,B-500 SigUSD,open,
1615,"Chain stuck issue - unresolved fork after ""Parent header with id ... is not defined""",pragmaxim,B-1000 SigUSD,closed,paid
1614,Make a test that the UTXO set tree is not modified as a result of proofsForTransactions call,ApexTheory,B-200 SigUSD,open,
1604,Tokens whitelist ,ccellado,B-1000 SigUSD,closed,paid
1603,Implement GetNipopowProof / NipopowProof messages,,Bounty - 300 SigUSD,closed,
1600,Make keepVersions changeable in LDBVersionedStore,knizhnik,B-500 SigUSD,closed,
1598,Optimize VersionedLDBAVLStorage methods,knizhnik,B-500 SigUSD,open,
1591,Introduce transaction size limit for p2p layer,knizhnik,B-500 SigUSD,closed,
1588,Make ErgoNodeViewHolder and its callers responsive,pragmaxim,B-1000 SigUSD,open,
1582,Make DeliveryTracker REST endpoint,pragmaxim,B-1000 SigUSD,closed,paid
1580,fix: increase akka max uri length,,B-100 SigUSD,closed,
1577,SyncTracker should unite Statuses and lastSyncSentTime,pragmaxim,B-500 SigUSD,closed,paid
1575,fix: invalid yaml in openapi spec,,B-100 SigUSD,closed,
1574,fixing logback oversized logfile issue,,B-500 SigUSD,closed,
1568,Check for node being stuck,pragmaxim,B-500 SigUSD,closed,paid
1565,Mempool syncing issues,pragmaxim,B-1000 SigUSD,closed,paid
1564,Check and fix failing integration tests,ccellado,B-1000 SigUSD,open,
1558,non-deterministic test failures due to `Random` in generators,pragmaxim,B-1000 SigUSD,closed,paid
1556,Extract logic from CleanupWorker actor and test it ,pragmaxim,B-500 SigUSD,open,
1551,Transactions returned from memory pool are Stream collection,pragmaxim,B-500 SigUSD,open,
1529,Node bootstrapping can get stuck with negative number of modifiers to download,pragmaxim,B-500 SigUSD,closed,paid
1525,getBoxProof API endpoint,knizhnik,B-500 SigUSD,closed,
1524,Make tests and optimizations for ErgoState.execTransactions,pragmaxim,B-500 SigUSD,closed,paid
1521,Implement getSnapshotsInfo message,,B-500 SigUSD,closed,
1517,Implement getSnapshotsInfo and snapshotsInfo network messages,knizhnik,B-500 SigUSD,open,
1510,"Implement NiPoPoW infix proofs (KMZ17, algorithm 5)",,B-1000 SigUSD,closed,
1505,Random peer eviction ,knizhnik,B-200 SigUSD,closed,
1504,Introduce maxTransactionCost limit for the mempool ,pragmaxim,B-500 SigUSD,closed,paid
1503,Remove complexityLimit,ccellado,B-200 SigUSD,closed,paid
1482,Avoid block sections serialization/deserialization on p2p transfer,knizhnik,B-200 SigUSD,closed,
1470,Persistence for peers ,knizhnik,B-500 SigUSD,closed,
1469,Avoid connecting to peers where connections already established ,pragmaxim,B-500 SigUSD,closed,paid
1466,GitHub Action to build & publish Docker image,,B-500 SigUSD,closed,
1465,Rework DeliveryTracker internal structures with expiring Bloom filters,pragmaxim,B-1000 SigUSD,closed,paid
1461,Remember recently included transactions ,pragmaxim,B-500 SigUSD,closed,paid
1459,Add network field to /info call,,B-200 SigUSD,closed,
1455,1323 rebased on top of 4.0.15,,B-200 SigUSD,closed,
1448,Check spending of tokens created in offchain transaction ,,B-500 SigUSD,open,
1443,Non-atomic update of HistoryStorage,pragmaxim,B-500 SigUSD,open,
1440,Check if change box is above 4KB ,pragmaxim,B-500 SigUSD,closed,paid
1407,Show warning on or disable wallet import if pruning is enabled,pragmaxim,B-500 SigUSD,closed,paid
1401,Determining whether the node is still syncing and calculating sync progress,,B-500 SigUSD,closed,
1392,Sign a custom message [Feature request],,B-1000 SigUSD,open,
1387,proofsForTransactions in UtxoStateReader can modify the underlying tree,knizhnik,B-2000 SigUSD,open,
1384,Add proof that interlink vector corresponds to its header,ApexTheory,B-1000 SigUSD,open,
1366,Bootstrapping via UTXO set snapshot,,B-5000 SigUSD,closed,
1365,NiPoPoW powered bootstrapping ,,B-5000 SigUSD,open,
1363,Inrementally rebuild block candidate for the same height,pragmaxim,B-1000 SigUSD,open,
